City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tiksi,71.6872,128.8694,-8.6,95,76,3.04,RU,1696589747
1,tonsberg,59.2675,10.4076,15.71,94,100,8.75,NO,1696589748
2,punta arenas,-53.15,-70.9167,2.06,80,20,6.17,CL,1696589748
3,la'ie,21.6477,-157.9253,25.06,77,9,4.02,US,1696589748
4,namibe,-15.1961,12.1522,22.7,73,23,4.24,AO,1696589748
5,urangan,-25.3,152.9,21.1,69,17,7.66,AU,1696589748
6,ushuaia,-54.8,-68.3,1.81,87,75,10.8,AR,1696589749
7,papatowai,-46.5619,169.4708,7.45,82,90,7.45,NZ,1696589749
8,bethel,41.3712,-73.414,18.2,90,100,0.0,US,1696589482
9,yerofey pavlovich,53.9667,121.9667,5.23,63,92,0.69,RU,1696589749
10,blackmans bay,-43.0167,147.3167,8.07,78,51,3.25,AU,1696589750
11,iskateley,67.6803,53.1512,3.9,78,81,9.39,RU,1696589750
12,mossel bay,-34.1831,22.146,17.96,92,100,10.42,ZA,1696589750
13,hermanus,-34.4187,19.2345,15.26,93,100,7.4,ZA,1696589750
14,puerto natales,-51.7236,-72.4875,2.05,81,34,6.76,CL,1696589751
15,yellowknife,62.456,-114.3525,1.29,69,100,3.6,CA,1696589751
16,adamstown,-25.066,-130.1015,20.12,80,25,5.65,PN,1696589751
17,kaa-khem,51.6833,94.7333,10.64,47,53,0.78,RU,1696589752
18,port-aux-francais,-49.35,70.2167,3.21,91,81,12.99,TF,1696589752
19,zambezi,-13.5432,23.1047,39.04,12,61,1.65,ZM,1696589752
20,yuzhno-kurilsk,44.0306,145.8556,14.1,73,100,14.67,RU,1696589752
21,grytviken,-54.2811,-36.5092,2.17,97,100,1.58,GS,1696589752
22,tura,25.5198,90.2201,21.89,98,100,2.42,IN,1696589753
23,la passe,45.5549,-0.8967,20.13,32,6,2.13,FR,1696589753
24,longyearbyen,78.2186,15.6401,-0.09,64,75,6.17,SJ,1696589753
25,ivdel',60.6911,60.4206,10.66,58,100,2.04,RU,1696589754
26,embi,48.8264,58.1442,12.95,78,100,4.66,KZ,1696589754
27,new plymouth,-39.0667,174.0833,13.23,86,91,3.5,NZ,1696589754
28,floro,61.5996,5.0328,9.04,93,75,7.2,NO,1696589754
29,ribeira grande,38.5167,-28.7,21.22,68,75,5.66,PT,1696589754
30,axel,51.2667,3.9083,18.45,80,100,2.68,NL,1696589755
31,klyuchi,52.2667,79.1667,16.91,39,69,1.88,RU,1696589755
32,nuuk,64.1835,-51.7216,3.1,86,100,15.43,GL,1696589660
33,borgarnes,64.5383,-21.9206,6.0,72,63,2.46,IS,1696589755
34,edinburgh of the seven seas,-37.0676,-12.3116,11.65,67,60,5.02,SH,1696589756
35,hithadhoo,-0.6,73.0833,27.94,71,88,1.53,MV,1696589756
36,castillos,-34.1667,-53.8333,13.0,69,1,4.57,UY,1696589756
37,waitangi,-43.9535,-176.5597,11.01,88,87,0.89,NZ,1696589756
38,keflavik,64.0049,-22.5624,4.95,87,75,2.57,IS,1696589757
39,talnakh,69.4865,88.3972,3.45,100,100,3.83,RU,1696589757
40,oranjemund,-28.55,16.4333,17.39,75,55,5.99,NA,1696589757
41,kerikeri,-35.2268,173.9474,8.9,95,47,2.02,NZ,1696589757
42,bredasdorp,-34.5322,20.0403,14.85,95,100,7.69,ZA,1696589477
43,christchurch,-43.5333,172.6333,16.11,55,38,5.66,NZ,1696589432
44,aasiaat,68.7098,-52.8699,1.36,74,100,7.66,GL,1696589663
45,polyarnyy,69.1989,33.4478,3.5,70,94,10.42,RU,1696589759
46,constantia,44.1833,28.65,24.38,44,25,6.5,RO,1696589759
47,rabo de peixe,37.8,-25.5833,23.73,73,20,8.23,PT,1696589760
48,dudinka,69.4058,86.1778,3.68,92,100,8.49,RU,1696589729
49,ilulissat,69.2167,-51.1,1.14,80,100,5.46,GL,1696589760
50,vorgashor,67.5833,63.95,5.45,85,100,7.63,RU,1696589760
51,albany,42.6001,-73.9662,17.58,88,100,1.78,US,1696589761
52,ust-nera,64.5667,143.2,1.23,71,100,1.34,RU,1696589761
53,udachny,66.4167,112.4,-3.08,79,88,4.45,RU,1696589761
54,atafu village,-8.5421,-172.5159,28.56,77,46,5.03,TK,1696589761
55,srivardhan,18.0333,73.0167,27.84,77,48,4.75,IN,1696589762
56,bilibino,68.0546,166.4372,-13.36,95,26,1.77,RU,1696589762
57,marsh harbour,26.5412,-77.0636,26.64,73,1,2.59,BS,1696589762
58,hamilton,39.1834,-84.5333,16.9,95,40,1.54,US,1696589762
59,halifax,44.6453,-63.5724,15.27,97,100,1.54,CA,1696589499
60,mount isa,-20.7333,139.5,23.87,17,44,4.12,AU,1696589763
61,madinat sittah uktubar,29.8167,31.05,28.78,30,20,5.39,EG,1696589763
62,toliara,-23.35,43.6667,30.25,42,0,8.41,MG,1696589763
63,illizi,26.4833,8.4667,30.89,18,0,4.18,DZ,1696589763
64,east london,-33.0153,27.9116,20.52,94,100,6.17,ZA,1696589763
