,City,Country,Lat,Lng,Humidity,Hotel Name
0,tiksi,RU,71.6872,128.8694,95,Арктика
1,tonsberg,NO,59.2675,10.4076,94,Thon Hotel Tønsberg Brygge
2,punta arenas,CL,-53.15,-70.9167,80,Hotel Lacolet
3,la'ie,US,21.6477,-157.9253,77,No hotel found
4,namibe,AO,-15.1961,12.1522,73,Hotel Chik Chik Namibe
5,urangan,AU,-25.3,152.9,69,Ramada
6,ushuaia,AR,-54.8,-68.3,87,Apart Hotel Aires del Beagle
7,papatowai,NZ,-46.5619,169.4708,82,No hotel found
8,bethel,US,41.3712,-73.414,90,Hampton Inn Danbury
9,yerofey pavlovich,RU,53.9667,121.9667,63,No hotel found
10,blackmans bay,AU,-43.0167,147.3167,78,Villa Howden
11,iskateley,RU,67.6803,53.1512,78,Авантаж
12,mossel bay,ZA,-34.1831,22.146,92,Protea Hotel Mossel Bay
13,hermanus,ZA,-34.4187,19.2345,93,Aloe guest house
14,puerto natales,CL,-51.7236,-72.4875,81,Dorotea Patagonia Hostel
15,yellowknife,CA,62.456,-114.3525,69,No hotel found
16,adamstown,PN,-25.066,-130.1015,80,No hotel found
17,kaa-khem,RU,51.6833,94.7333,47,No hotel found
18,port-aux-francais,TF,-49.35,70.2167,91,Keravel
19,zambezi,ZM,-13.5432,23.1047,12,No hotel found
20,yuzhno-kurilsk,RU,44.0306,145.8556,73,Dom Druzhby
21,grytviken,GS,-54.2811,-36.5092,97,No hotel found
22,tura,IN,25.5198,90.2201,98,No hotel found
23,la passe,FR,45.5549,-0.8967,32,L'Estuaire
24,longyearbyen,SJ,78.2186,15.6401,64,The Vault
25,ivdel',RU,60.6911,60.4206,58,гостиница Ивдель
26,embi,KZ,48.8264,58.1442,78,No hotel found
27,new plymouth,NZ,-39.0667,174.0833,86,Carrington Motel
28,floro,NO,61.5996,5.0328,93,Comfort Hotel Victoria Florø
29,ribeira grande,PT,38.5167,-28.7,68,Hospedaria JSF
30,axel,NL,51.2667,3.9083,80,Dallinga
31,klyuchi,RU,52.2667,79.1667,39,No hotel found
32,nuuk,GL,64.1835,-51.7216,86,Nordbo
33,borgarnes,IS,64.5383,-21.9206,72,Borgarnes
34,edinburgh of the seven seas,SH,-37.0676,-12.3116,67,No hotel found
35,hithadhoo,MV,-0.6,73.0833,71,Pebbles Inn
36,castillos,UY,-34.1667,-53.8333,69,A mi gente
37,waitangi,NZ,-43.9535,-176.5597,88,Hotel Chathams
38,keflavik,IS,64.0049,-22.5624,87,Núpan Deluxe
39,talnakh,RU,69.4865,88.3972,100,Талнах
40,oranjemund,,-28.55,16.4333,75,Op My Stoep
41,kerikeri,NZ,-35.2268,173.9474,95,Avalon Resort
42,bredasdorp,ZA,-34.5322,20.0403,95,Victoria Hotel
43,christchurch,NZ,-43.5333,172.6333,55,Ibis Hotel Christchurch
44,aasiaat,GL,68.7098,-52.8699,74,SØMA
45,polyarnyy,RU,69.1989,33.4478,70,No hotel found
